event_id,datetime,latitude,longitude,depth_km,magnitude
1,2010-01-01 03:37:23,38.83333,140.61667,10.74,0.4
2,2010-01-01 05:52:15,38.76667,140.65,11.18,0.4
3,2010-01-01 20:01:29,36.86667,142.78333,46.12,3.5
4,2010-01-01 22:40:29,41.76667,142.66667,18.48,0.9
5,2010-01-07 04:26:01,37.73333,142.46667,6.89,0.7
6,2010-01-08 19:33:34,41.85,142.86667,6.69,0.6
7,2010-01-09 07:17:38,38.61667,140.86667,20.37,0.7
8,2010-01-11 02:23:44,37.95,145.56667,45.0,0.9
9,2010-01-11 07:39:47,41.91667,140.31667,20.94,1.5
10,2010-01-11 20:00:38,40.15,141.33333,47.95,1.0
11,2010-01-12 07:06:00,40.28333,145.25,94.32,0.8
12,2010-01-18 03:25:43,39.85,145.15,5.66,0.6
13,2010-01-19 01:54:13,41.48333,145.95,8.92,0.5
14,2010-01-21 11:18:35,39.33333,145.45,14.77,0.5
15,2010-01-22 17:22:06,41.05,145.5,8.45,0.4
16,2010-01-25 06:14:34,41.46667,144.86667,9.17,0.6
17,2010-01-25 07:05:26,40.83333,145.46667,13.26,0.5
18,2010-01-26 03:07:32,41.35,145.65,9.29,0.4
19,2010-01-26 19:01:14,39.21667,145.76667,14.94,0.6
20,2010-01-28 08:55:18,40.5,142.66667,6.17,0.5
21,2010-01-31 01:42:49,41.18333,145.76667,8.46,0.5
22,2010-02-01 16:46:09,40.48333,143.08333,11.93,3.6
23,2010-02-03 23:58:34,38.93333,145.93333,18.24,2.6
24,2010-02-05 22:50:06,40.1,143.86667,7.51,0.6
25,2010-02-10 06:38:38,37.18333,145.61667,12.3,3.4
26,2010-02-13 20:21:55,40.86667,142.91667,7.13,0.7
27,2010-02-17 00:21:06,40.28333,143.46667,10.26,1.1
28,2010-02-17 02:37:35,40.86667,142.25,18.48,2.0
29,2010-02-19 15:13:18,38.53333,143.16667,11.3,0.8
30,2010-02-20 00:06:09,40.55,143.75,7.34,0.5
31,2010-02-20 08:40:11,40.85,143.21667,6.97,0.6
32,2010-02-20 19:54:36,38.45,140.1,22.61,2.0
33,2010-02-20 22:05:29,40.03333,140.01667,25.03,2.3
34,2010-02-21 05:34:49,39.28333,140.76667,26.36,2.4
35,2010-02-23 07:55:46,38.36667,144.43333,8.04,0.7
36,2010-02-23 12:40:51,37.86667,141.81667,10.07,0.8
37,2010-03-01 23:29:18,37.18333,144.7,15.0,0.5
38,2010-03-03 01:44:40,41.0,142.56667,38.01,1.1
39,2010-03-05 04:35:30,40.21667,140.03333,8.17,1.9
40,2010-03-05 19:28:52,41.05,145.88333,10.55,0.9
41,2010-03-08 20:55:34,36.83333,143.9,7.62,0.6
42,2010-03-09 05:51:42,37.9,144.88333,11.21,0.5
43,2010-03-09 20:36:12,41.3,143.53333,12.07,1.0
44,2010-03-10 09:56:10,40.0,142.91667,9.05,1.1
45,2010-03-11 00:32:53,36.26667,144.76667,72.79,1.0
46,2010-03-12 17:00:46,40.15,142.75,7.13,0.5
47,2010-03-16 11:25:39,41.55,144.25,5.72,0.6
48,2010-03-17 17:08:02,39.05,145.43333,14.39,0.6
49,2010-03-18 16:16:42,41.98333,142.95,10.37,0.4
50,2010-03-20 04:03:46,37.23333,140.61667,58.08,3.0
51,2010-03-20 16:21:01,40.15,142.76667,13.67,3.7
52,2010-03-21 16:48:11,37.63333,144.36667,48.77,0.8
53,2010-03-23 00:17:15,39.45,143.31667,8.17,0.8
54,2010-03-28 11:02:20,41.98333,144.38333,30.44,4.2
55,2010-03-29 07:04:37,40.96667,142.53333,37.63,1.0
56,2010-03-31 23:09:37,39.71667,144.41667,7.23,0.7
