event_id,datetime,latitude,longitude,depth_km,magnitude
3,2010-01-01 20:01:29,36.86667,142.78333,46.12,3.5
4,2010-01-01 22:40:29,41.76667,142.66667,18.48,0.9
8,2010-01-11 02:23:44,37.95,145.56667,45.0,0.9
9,2010-01-11 07:39:47,41.91667,140.31667,20.94,1.5
10,2010-01-11 20:00:38,40.15,141.33333,47.95,1.0
11,2010-01-12 07:06:00,40.28333,145.25,94.32,0.8
22,2010-02-01 16:46:09,40.48333,143.08333,11.93,3.6
23,2010-02-03 23:58:34,38.93333,145.93333,18.24,2.6
25,2010-02-10 06:38:38,37.18333,145.61667,12.3,3.4
27,2010-02-17 00:21:06,40.28333,143.46667,10.26,1.1
28,2010-02-17 02:37:35,40.86667,142.25,18.48,2.0
29,2010-02-19 15:13:18,38.53333,143.16667,11.3,0.8
32,2010-02-20 19:54:36,38.45,140.1,22.61,2.0
33,2010-02-20 22:05:29,40.03333,140.01667,25.03,2.3
34,2010-02-21 05:34:49,39.28333,140.76667,26.36,2.4
36,2010-02-23 12:40:51,37.86667,141.81667,10.07,0.8
38,2010-03-03 01:44:40,41.0,142.56667,38.01,1.1
39,2010-03-05 04:35:30,40.21667,140.03333,8.17,1.9
40,2010-03-05 19:28:52,41.05,145.88333,10.55,0.9
43,2010-03-09 20:36:12,41.3,143.53333,12.07,1.0
44,2010-03-10 09:56:10,40.0,142.91667,9.05,1.1
45,2010-03-11 00:32:53,36.26667,144.76667,72.79,1.0
50,2010-03-20 04:03:46,37.23333,140.61667,58.08,3.0
51,2010-03-20 16:21:01,40.15,142.76667,13.67,3.7
52,2010-03-21 16:48:11,37.63333,144.36667,48.77,0.8
53,2010-03-23 00:17:15,39.45,143.31667,8.17,0.8
54,2010-03-28 11:02:20,41.98333,144.38333,30.44,4.2
55,2010-03-29 07:04:37,40.96667,142.53333,37.63,1.0
72,2010-04-06 17:49:47,36.23333,144.63333,13.28,3.8
75,2010-04-10 23:08:03,41.31667,144.65,35.17,1.4
77,2010-04-12 03:22:39,41.01667,141.03333,66.8,2.4
78,2010-04-13 20:16:08,37.23333,143.55,10.46,2.9
80,2010-04-17 14:06:51,36.43333,144.95,35.21,1.1
90,2010-04-26 21:19:38,40.46667,145.98333,37.11,2.7
93,2010-04-30 06:08:45,36.3,140.01667,15.29,0.9
94,2010-05-05 23:01:06,38.75,144.01667,35.5,2.1
95,2010-05-06 00:19:56,38.63333,143.9,69.11,3.0
97,2010-05-07 21:14:36,37.65,144.76667,12.99,3.1
98,2010-05-10 02:20:02,38.83333,140.26667,7.74,1.1
99,2010-05-10 19:15:36,41.06667,145.26667,63.36,2.3
100,2010-05-13 03:18:58,41.61667,141.9,8.77,0.9
101,2010-05-13 03:49:41,41.51667,141.73333,9.89,0.8
103,2010-05-16 02:41:47,41.33333,142.31667,7.43,0.8
108,2010-05-18 23:58:08,39.91667,144.96667,5.86,0.9
109,2010-05-20 05:23:19,40.0,143.88333,8.31,1.2
112,2010-05-22 09:21:10,39.4,140.2,31.68,2.4
116,2010-05-28 15:17:29,41.51667,141.01667,7.94,1.1
118,2010-05-30 03:24:33,41.13333,143.36667,41.28,0.8
119,2010-05-30 22:16:08,37.13333,143.21667,8.62,1.0
121,2010-06-02 00:21:21,40.96667,143.68333,83.72,1.3
123,2010-06-04 13:25:24,36.03333,141.93333,1.3,3.2
124,2010-06-06 10:06:01,40.98333,143.08333,6.16,0.8
126,2010-06-11 09:10:41,41.15,142.91667,48.14,2.3
127,2010-06-14 03:32:57,36.71667,144.85,86.47,3.9
129,2010-06-22 13:40:55,40.56667,141.46667,34.24,1.8
132,2010-07-04 05:34:03,40.9,143.06667,38.84,0.9
133,2010-07-06 14:28:27,37.11667,143.85,81.36,1.0
134,2010-07-07 13:11:19,36.21667,143.93333,20.84,0.8
137,2010-07-10 15:06:09,41.66667,144.53333,37.48,1.1
138,2010-07-12 12:00:15,41.73333,142.63333,7.82,0.8
139,2010-07-12 16:44:26,40.66667,142.3,4.93,1.1
140,2010-07-17 00:17:05,41.03333,143.68333,37.39,1.1
141,2010-07-17 12:28:26,39.73333,145.9,26.94,1.1
142,2010-07-18 12:13:07,40.7,142.68333,38.41,1.2
146,2010-07-23 20:19:25,37.53333,140.1,25.5,1.2
149,2010-07-27 09:49:09,37.26667,140.93333,70.19,3.0
151,2010-08-05 11:18:20,36.83333,142.23333,47.44,0.8
152,2010-08-05 23:10:59,40.05,143.28333,9.83,1.2
155,2010-08-09 23:15:29,36.26667,140.86667,40.07,0.9
156,2010-08-11 00:24:44,36.78333,143.9,33.02,1.1
157,2010-08-14 13:40:16,37.05,141.66667,85.63,0.9
158,2010-08-15 10:57:27,37.75,141.15,35.92,0.9
159,2010-08-15 18:01:52,41.93333,145.21667,36.35,1.1
160,2010-08-15 18:05:13,41.33333,144.36667,34.58,1.9
162,2010-08-19 19:36:46,41.8,142.75,5.79,0.8
163,2010-08-19 21:33:32,38.05,142.88333,15.02,1.0
164,2010-08-20 01:20:21,36.36667,144.48333,13.7,1.0
165,2010-08-20 22:39:07,38.18333,140.08333,16.48,4.1
167,2010-08-22 22:43:41,38.48333,141.3,21.69,1.9
168,2010-08-24 07:25:41,40.36667,143.88333,17.83,2.9
169,2010-08-26 01:43:48,36.41667,143.28333,7.5,1.1
171,2010-08-30 04:30:48,37.8,144.91667,41.11,1.2
175,2010-09-01 04:28:49,39.05,144.25,40.86,2.3
176,2010-09-06 00:04:40,36.45,144.08333,64.37,3.9
177,2010-09-07 22:32:25,40.13333,144.61667,22.97,4.8
181,2010-09-18 03:19:46,41.15,145.43333,9.48,1.4
182,2010-09-18 16:17:34,39.95,142.16667,4.34,1.3
183,2010-09-19 09:14:38,38.15,141.08333,37.24,0.9
184,2010-09-19 19:33:14,38.71667,143.26667,6.08,0.9
186,2010-09-20 06:32:53,38.65,143.8,4.17,1.0
196,2010-09-25 11:54:48,37.41667,143.15,14.4,2.1
214,2010-09-26 20:58:56,37.78333,143.7,12.71,1.2
216,2010-09-27 02:10:01,37.81667,143.95,12.68,0.8
231,2010-09-29 06:54:32,38.05,140.03333,13.87,2.9
232,2010-09-29 15:23:03,40.95,142.1,37.81,1.3
237,2010-10-03 02:28:18,39.9,140.33333,18.5,2.2
238,2010-10-03 03:52:06,37.08333,141.35,11.64,4.0
239,2010-10-03 07:21:21,37.61667,144.15,12.9,0.8
241,2010-10-05 13:25:05,37.71667,140.68333,12.24,3.8
242,2010-10-05 23:34:15,40.03333,142.18333,17.4,2.1
245,2010-10-07 06:06:59,38.66667,145.18333,26.71,1.9
246,2010-10-07 18:16:21,39.48333,141.06667,15.23,2.9
247,2010-10-08 22:06:34,36.68333,143.0,58.26,0.8
248,2010-10-12 05:13:02,40.83333,143.91667,85.13,1.2
249,2010-10-12 10:24:01,38.8,143.86667,57.81,2.8
250,2010-10-12 18:39:21,36.66667,142.08333,70.16,1.1
251,2010-10-13 20:26:45,40.93333,141.38333,15.65,3.6
255,2010-10-21 01:07:04,36.05,141.73333,34.67,1.6
256,2010-10-22 13:39:23,41.25,143.61667,37.86,1.1
258,2010-10-27 12:26:07,40.21667,142.7,39.07,1.0
262,2010-11-05 22:04:45,41.01667,142.91667,6.39,0.8
264,2010-11-07 18:14:41,39.5,142.66667,3.57,3.7
